Actual,Predicted
Experts question if  packed out planes are putting passengers at risk .U.S consumer advisory group says minimum space must be stipulated .Safety tests conducted on planes with more leg room than airlines offer .,Experts are questioning if having such packed out planes is putting passengers at risk. They say that the shrinking space on aeroplanes is not only uncomfortable - it's putting our health and safety in danger.
"Drunk teenage boy climbed into lion enclosure at zoo in west India .Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!'Fortunately he fell into a moat before reaching lions and was rescued .","Rahul Kumar, 17, climbed into lions' enclosure at zoo in Ahmedabad. He shouted 'Today I kill a lion or a lion kills me!' He was rescued by security staff before reaching the animals."
Nottingham Forest are close to extending Dougie Freedman's contract .The Forest boss took over from former manager Stuart Pearce in February .Freedman has since lead the club to ninth in the Championship .,Dougie Freedman is set to sign a new two-year deal at Nottingham Forest. The former England Under-21 international has stabilised the club since replacing Stuart Pearce.
"Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal .Neto joined Firoentina from Brazilian outfit Atletico Paranaense in 2011 .He is also wanted by PSG and Spanish clubs, according to his agent .CLICK HERE for the latest Liverpool news .",Liverpool target Neto is wanted by PSG and clubs in Spain. Brazilian keeper is wanted by a number of top European clubs. Reds were linked with a move for the 25-year-old earlier in the season.
"Tell-all interview with the reality TV star, 69, will air on Friday April 24 .It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February .The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year .","Bruce Jenner's biggest fans, the reality show's producers are reportedly preparing for a'serious' interview with the former Olympian. Bruce Jenner's upcoming interview with Diane Sawyer on Monday, but the gossip site quickly ruled out any possibility of a Kardashians reunion. Beverly Hills on Thursday, and the couple has been married for more than 20 years. a bulky sweatshirt Jenner is reportedly preparing to make his on-screen debut as a woman on 'Dancing with the Stars', he is also reportedly preparing to make his transition to a woman on the show. Bruce is ready.' Kris Jenner's blessing. Jenner's family and friends be able to hear about the crash and how he was able to help Kim. ABC News anchor and former CBS News anchor Tom Sawyer is to return to the network's newscasts, following a five-year absence."
"Giant pig fell into the swimming pool at his home in Ringwood, Hampshire .It took the efforts of a team of firefighters to winch him out of the water .A wayward horse also had to be rescued from a swimming pool in Sussex .",Pool Swim.
"Figures show that while millions still tune in they listen for shorter bursts .Average listener spent ten hours a week tuning in last three months of 2014 .This was 14% down on decade earlier, when people tuned in for 11.6 hours .The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment. For example, publishers could pay to have their books reviewed on Talking Books. The BBC Trust will review the scheme in a year.",BBC director general Tony Hall has admitted the decline.
"Show will return with a one-hour special, followed by spinoff, star John Stamos says .He announced the show Monday night on ""Jimmy Kimmel Live""","Netflix has ordered up a reunion special, followed by a spinoff series called ""Fuller House."""
"Reanne Evans faced Ken Doherty in World Championship qualifier .Doherty won the world championship in 1997 .Evans lost the first frame 71-15 against Doherty .But the Dudley native fought back to lead 4-3 .Ken Doherty, however, managed to close out an enthralling contest 10-8 .","Ken Doherty's last. Evans in 2011, beat Evans 10-8 in the final at Ponds Forge. Evans put on her. Evans, who has won the title four times, was beaten 3-2 by the defending champion, Graeme McDowell. Doherty's runs were a little slow, but she kept her composure and kept her nerve. Ken in a heartbeat. Doherty shook his head and said: 'It's a bit of a shock,' Evans said. British snooker talent in the second frame with a snooker-like snooker. England players were gathered. The snooker tables were set up for the first time in the history of the tournament, and the players will know exactly who she is and what she can do next time."
"Gang have been jailed for a total of 31 years for sexually abusing children .Offences happened in cars, woods or at the defendants' homes in Banbury .Lured victims to parties organised on social media and then abused them .Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 .",31 years. Ahmed Hassan-Sule's first victims. 'vulnerable'. Kagiso Manase on trial for sex offences. Isla. Banbury be able to prosecute these men. Takudzwa Hova and Zsolt Szalontai to'save' them. Ahmed Hassan-Sule's second victim. child to engage in sexual activity and one count of rape. UK prison. Young Offenders Institute is a non-profit organization that provides training and support to young offenders.
